,問題内容,解答番号,問題①,問題②,問題③,問題④
19,あなたの会社は複数のサーバーやデータベースなどを配置したオンプレミス環境を有しています。今後、複数のサーバーをAzureに移行する予定です。オンプレミス環境と比較して軽減される管理タスクはどれでしょうか？　２つ選択してください。,オプション１と５が,物理サーバーの交換,サーバーのOSの更新,運用ドキュメント管理,アクセス権限管理
20,"次の空欄を埋める選択肢を選んでください。
仮想マシンを作成したら、＿＿＿＿＿＿＿＿を変更して、仮想マシンのTCPポート8080への接続を許可する必要があります。",1,ネットワークセキュリティグループ（NSG）,仮想ネットワークゲートウェイ,仮想ネットワーク,ルートテーブル
21,あなたはオンプレミス環境からAzureへの移行を検討しています。Azure でソリューションを運用した場合にコストを節約できるのかを見積もることが必要です。そのために最適なソリューションはどれでしょうか？,2,Azure 料金計算ツール,Azure TCO 計算ツール,Azure Advisor,Azure Reservations
22,"次の空欄を埋める選択肢を選んでください。

Azureサービスは、＿＿＿＿＿＿＿＿時にAzureの全ユーザーが利用できます。",1,パブリックプレビュー,プライベートプレビュー,開発,エンタープライズアグリーメント（EA）サブスクリプション
23,"次の説明が真の場合は「はい」を、それ以外の場合は「いいえ」を選択してください。 

可用性ゾーンは単独のデータセンターで構成されている。",2,はい,いいえ,,
24,"次の説明が真の場合は「はい」を、それ以外の場合は「いいえ」を選択してください。 

すべてのリージョンでAzureリソースが利用可能になっている場合であっても、ユーザーはすべてのリージョンを利用可能というわけではない。",1,はい,いいえ,,
25,"次の説明が真の場合は「はい」を、それ以外の場合は「いいえ」を選択してください。   

可用性ゾーンは、データやアプリケーションを複数リージョンにレプリケートするために使用される。",2,はい,いいえ,,
26,問題が発生した場合においても、ダウンタイムを発生させることなくユーザーエクスペリエンスを継続的に提供できるクラウドの特徴はなんでしょうか？,1,フォールトトレランス,スケーラビリティ,弾力性,機敏性
27,"次の説明が真の場合は「はい」を、それ以外の場合は「いいえ」を選択してください。

あなたの会社はオンプレミス環境からAzureに「Microsoft SQL Serverを利用したアプリケーション」を移行することを計画しています。

AzureではAzure App Serviceを使用してアプリケーション構築を実施する予定です。そのために必要なAzure環境をデプロイする必要があります。

Azure App ServiceにMicrosoft SQL Serverをインストールして利用する必要はありますか？",2,はい,いいえ,,
28,"次の説明が真の場合は「はい」を、それ以外の場合は「いいえ」を選択してください。

Azure仮想マシンのインスタンスを停止した場合でも、仮想マシンに関連するストレージコストを引き続き支払うことになる。",1,はい,いいえ,,
29,"次の説明が真の場合は「はい」を、それ以外の場合は「いいえ」を選択してください。

負荷変動時にパフォーマンスを維持できることはクラウドの機敏性の一例である。",2,はい,いいえ,,
30,"次の説明が真の場合は「はい」を、それ以外の場合は「いいえ」を選択してください。

リソースの割り当て量を動的に柔軟に変更できることはクラウドの弾力性の一例である。",1,はい,いいえ,,
31,"次の説明が真の場合は「はい」を、それ以外の場合は「いいえ」を選択してください。

障害が発生してもサービスを継続できることはクラウドの弾力性の一例である。",2,はい,いいえ,,
32,"次の説明が真の場合は「はい」を、それ以外の場合は「いいえ」を選択してください。

他リージョンにDR（Disaster Recovery）構成を維持できることはクラウドの弾力性の一例である。",2,はい,いいえ,,
33,B社では10台のWindows Server 2016サーバーと20台のLinuxの特定インスタンスサイズの仮想マシンを起動して、テストを実施します。そして、テスト終了後にこれらの仮想マシンを削除することが必要です。これらの仮想マシンの展開と削除に必要な管理作業を最小限に抑えるためにはどのAzureサービスを利用すれば良いでしょうか？,3,Microsoft Virtual Desktop,Azure Reserved VM Instances,Azure DevTest Labs,Azure仮想マシンのスケールセット
34,"次の空欄を埋める選択肢を選んでください。

MyResourceGroupという名前のリソースグループに削除ロックが設定されている場合、______________________",2,グローバル管理者グループのメンバーのみがMyResourceGroupを削除できる,管理者がMyResourceGroupを削除するためには、削除ロックを解除する必要がある,管理者がMyResourceGroupを削除するためには、Azureポリシーを変更する必要がある,管理者がMyResourceGroupを削除するためには、Azureタグを追加する必要がある
35,"次の説明が真の場合は「はい」を、それ以外の場合は「いいえ」を選択してください。
  Azure AdvisorはAzure Active Directory環境のセキュリティ向上に関するアドバイスを提供する。",2,はい,いいえ,,
36,"次の説明が真の場合は「はい」を、それ以外の場合は「いいえ」を選択してください。 
Azure Advisorはリソースの制限事項に関する上限緩和申請を実施することができる。",2,はい,いいえ,,
37,"次の説明が真の場合は「はい」を、それ以外の場合は「いいえ」を選択してください。 

Azure Advisorはコスト削減に関する推奨事項を提供する。",1,はい,いいえ,,
38,"次の説明が真の場合は「はい」を、それ以外の場合は「いいえ」を選択してください。  
Azure Advisor は無料で利用することができる。",1,はい,いいえ,,
39,"次の説明が真の場合は「はい」を、それ以外の場合は「いいえ」を選択してください。 
  ハイブリッドクラウドに移行するためには、プライベートクラウドから移行する必要がある。",2,はい,いいえ,,
40,"次の説明が真の場合は「はい」を、それ以外の場合は「いいえ」を選択してください。
  パブリッククラウドを使用して、内部ネットワークを拡張できる。",1,はい,いいえ,,
41,"次の説明が真の場合は「はい」を、それ以外の場合は「いいえ」を選択してください。  

ハイブリッドクラウドに移行するためには、パブリッククラウドから移行する必要がある。",2,はい,いいえ,,
42,あなたはJSON形式のドキュメントを保存するミリ秒単位で応答ができるデータベースが必要です。このデータベースには複数リージョンから同時にアクセスして利用することになります。どのデータベースが最適でしょうか？,1,Azure Cosmos DB,Azure Synapse Analytics,Azure SQL Database,Azure Cache for Redis
43,"次の説明が真の場合は「はい」を、それ以外の場合は「いいえ」を選択してください。
  Azureリソースは同じリソースグループ内の他のリソースにのみアクセスできる。",2,はい,いいえ,,
44,"次の説明が真の場合は「はい」を、それ以外の場合は「いいえ」を選択してください。    

リソースグループを削除すると、リソースグループ内のすべてのリソースが削除される。",1,はい,いいえ,,
45,"次の説明が真の場合は「はい」を、それ以外の場合は「いいえ」を選択してください。

リソースグループは同じAzureリージョンのリソースのみを含めることができる。",2,はい,いいえ,,
46,Azureのコストを最適化するために使用できる有効なツールとして、最も適切なものはどれですか？,3,Azure Monitor,ストレージアカウント,Azure Advisor,リソースプロバイダー
47,"次の説明が真の場合は「はい」を、それ以外の場合は「いいえ」を選択してください。 

パブリッククラウドは会社内のゲストユーザーのみがクラウド内のリソースにアクセスできる。",2,はい,いいえ,,
48,あなたの会社では基幹システムをAzure仮想マシンに移行する予定です。構築されるアプリケーションは99.99パーセントの可用性を保証する必要があります。その際に利用する必要がある仮想マシンの最小数はいくつですか？,2,1,2,3,4
49,"次のクラウドの特徴を表す用語として正しいのは次のうちどれでしょうか。

地域に障害が発生しても、バックアップを利用してリソースを復元できる。",2,機敏性（アジリティ）,ディザスタリカバリ,弾力性,スケーラビリティ
50,"次のクラウドの特徴を表す用語として正しいのは次のうちどれでしょうか。

ビスネス要件の変化に対して、クラウドリソースを素早く利用・変更できる",1,機敏性（アジリティ）,ディザスタリカバリ,弾力性,スケーラビリティ
51,"次のクラウドの特徴を表す用語として正しいのは次のうちどれでしょうか。

ビスネス需要の変化に対して、リソースを動的にプロビジョニングできる。",3,機敏性（アジリティ）,ディザスタリカバリ,弾力性,スケーラビリティ
52,"次の説明が真の場合は「はい」を、それ以外の場合は「いいえ」を選択してください。

Azure DevOps Servicesを利用することで、継続的インテグレーション/継続的デリバリー (CV/CD) パイプラインを整理して、Azure にアプリケーションを展開することができる。",1,はい,いいえ,,
53,"次の説明が真の場合は「はい」を、それ以外の場合は「いいえ」を選択してください。

Azure DevOps Servicesでは Git リポジトリに開発コードを保存することができる。",1,はい,いいえ,,
54,"次の説明が真の場合は「はい」を、それ以外の場合は「いいえ」を選択してください。

Azure DevOps Services では、Web アプリアプリケーションをホストして、運用することができる。",2,はい,いいえ,,
55,各種デバイスやOS上で利用するツールについて、正しい内容はどれでしょうか？ すべて選択してください。,1,macOSにAzure PowerShellモジュールをインストールして利用できる。,Linuxコンピューター上のWebブラウザーからAzure Cloud Shellにアクセスできる。,Azure portalはWindowsデバイスからアクセスする必要がある。,PowerShellはWindowsデバイスからアクセスする必要がある。
56,"Azureを使用してWEBアプリケーションをホストすることを計画しています。アプリは以下の要件を満たす必要があります。

・オペレーティングシステム操作が対話的に実行される。

どのタイプのクラウドサービスを使用する必要がありますか。",2,Software as a Service (SaaS),Infrastructure as a Service (IaaS),Platform as a Service (PaaS),
57,"Azureを使用してWEBアプリケーションをホストすることを計画しています。アプリは以下の要件を満たす必要があります。

・コードを変更できる必要がある。
・オペレーティングシステムの管理作業を最小限に抑える必要がある。

どのタイプのクラウドサービスを使用する必要がありますか。",3,Software as a Service (SaaS),Infrastructure as a Service (IaaS),Platform as a Service (PaaS),
58,"次の空欄を埋める選択肢を選んでください。

――――――はプライベート接続を介してオンプレミス ネットワークをAzureクラウドに拡張する。",1,ExpressRoute,仮想ネットワークピアリング,VPNゲートウェイ,
59,"次の空欄を埋める選択肢を選んでください。

――――――は2つ以上の Azure 仮想ネットワークを組み合わせて1つの論理的な仮想ネットワークを実現する。",2,ExpressRoute,仮想ネットワークピアリング,VPNゲートウェイ,
60,"次の空欄を埋める選択肢を選んでください。

――――――はオンプレミス ネットワークから Azure へのパブリック ネットワークを介した暗号化された接続を提供する。",3,ExpressRoute,仮想ネットワークピアリング,VPNゲートウェイ,
61,"次の説明が真の場合は「はい」を、それ以外の場合は「いいえ」を選択してください。

クラウドコンピューティングを使用するには必ずインターネット接続が必要である。",2,はい,いいえ,,
62,"次の説明が真の場合は「はい」を、それ以外の場合は「いいえ」を選択してください。

導入コストを考慮すると、クラウドコンピューティングでサーバーを増やすコストは、オンプレミスデータセンターのサーバーを増やすコストよりも安い。",1,はい,いいえ,,
63,"次の説明が真の場合は「はい」を、それ以外の場合は「いいえ」を選択してください。

Azure Active Directory（Azure AD）を利用するには、Azure仮想マシンにドメインコントローラーを実装する必要がある。",2,はい,いいえ,,
64,Azure Active Directory（Azure AD）のユーザーがインターネットから匿名のIPアドレスを使用して接続する際に、自動的にパスワードの変更を求めるには、どのAzureサービスを使用する必要がありますか？,4,Azure Monitor,Microsoft Defender for Cloud,Azure AD Privileged Identity Management,Azure Active Directory Identity Protection
65,"次の説明が真の場合は「はい」を、それ以外の場合は「いいえ」を選択してください。

既に読み取り専用ロックが設定されているAzure リソースに削除ロックを追加できる。",1,はい,いいえ,,
66,利用されていない実行中のWindows 10 Azure 仮想マシンのコストを節約する方法として、正しいのはどれでしょうか？,1,シャットダウンする。,中断にする。,停止する。,再起動する。
67,"次の説明が真の場合は「はい」を、それ以外の場合は「いいえ」を選択してください。

リソースグループはリソースのアクセス制御に利用される。",1,はい,いいえ,,
68,"次の説明が真の場合は「はい」を、それ以外の場合は「いいえ」を選択してください。

Azure Active Directory (Azure AD) を利用して、グループ ポリシーを作成できる。",1,はい,いいえ,,
69,Active Directory (Azure AD) に参加できるデバイスはどれでしょうか？　すべて選択してください。,オプション２と６が,Windows 8デバイス,Windows 10デバイス,macOS デバイス,Androidデバイス
